	"983-2 (replicate)"	"983-1"	"V + X12"	"P2 + X12"	"P2 + X24"	"NE + X24"
16695_Rrm2_mapped	0.359566	0.15112	-0.0311656	-0.765095	-0.727364	0.0710478
16706_Glis2_predicted	0.0688319	-0.105504	0.0865741	-0.508232	-0.820659	-0.327949
16720_AA964077	0.0991698	0.168323	0.292699	0.712421	1.06794	0.14319
16776_Gal	-0.0146666	-0.175483	0.125111	0.730121	0.634617	0.0585756
16795_BF564475	-0.332068	-0.159308	-0.339266	0.84463	-0.0481419	-0.122834
16869_LOC298795	0.06501	0.0846201	-0.111247	-0.709218	-0.816767	-0.152452
17039_Gdf15	0.403047	0.78317	0.751949	0.695211	0.937069	0.598238
17141_S100g	-0.497548	-0.733083	-0.00581233	0.462831	0.290117	0.12505
17199_BM384243	-0.0890438	-0.182595	0.0284061	0.720986	0.403273	0.231461
17203_AA817898	-0.340677	-0.193396	-0.317532	0.842554	-0.0506596	-0.106133
17274_RGD1561153_predicted	-0.284097	-0.296995	0.0258915	0.730298	0.288692	0.122837
17372_AW917132	-0.292415	-0.77125	-0.182556	-0.445425	-0.117429	-0.495301
17474_ENSRNOT00000040993	-0.175235	-0.00542293	-0.296121	0.7171	0.0141107	-0.181195
17592_Spp1	0.0334143	0.326908	0.532033	0.70445	0.671648	1.20671
17593_TC550302	0.0609007	0.0555531	-0.156922	-0.611109	-0.887891	-1.00111
17594_AW142822	-0.419613	-0.209036	-0.279619	0.825311	-0.0396442	-0.107873
17666_Rhoa	-0.32097	-0.00073508500000005	-0.824981	-0.227301	-0.129163	-0.0694963
17670_TC541862	0.146917	0.467466	0.884689	0.821187	1.29846	0.196184
17776_RT1-Aw2	-0.0406101	-0.869934	-0.125838	-1.06075	-1.11316	-0.28411
17798_Prom1	-1.07067	-1.23978	0.130585	0.494864	0.582001	-0.192551
17862_RGD1310433_predicted	-0.538138	0.182526	-0.716308	-0.126616	0.0687249	-0.0434517
17879_Mki67_predicted	-0.204049	-1.13635	-0.434358	-0.716039	-0.618413	-0.134103
17920_BC091324	0.421785	0.48835	0.88938	0.338825	0.391577	0.69706
17968_Rwdd2_predicted	-0.389797	-0.18836	-0.34418	0.786353	-0.0462458	-0.126236
18000_Il1f6_predicted	0.435973	0.178716	-0.370151	-0.328454	-0.8658	-0.235749
18005_Trim63	0.125221	0.497359	0.160414	0.93584	0.985698	-0.0405327
18023_Acy3	-0.342368	-0.206613	-0.277292	0.748949	-0.0427702	-0.090878
18043_AI060265	-0.0170626	0.0291308	-0.0373593	-0.783738	-0.647471	0.0465687
18067_Olr1750_predicted	-0.36758	-0.183567	-0.297767	0.78835	-0.0226599	-0.0721614
18132_AW143783	0.763823	0.613132	0.110882	-0.377571	-0.31163	0.20559
18146_TC538354	-0.25721	-0.105549	0.158028	0.969859	0.745856	0.0828974
18228_Ms4a11_predicted	0.812197	0.645713	0.0675269	0.125364	-0.0278807	0.20459
18293_AI763958	-0.424343	-0.182175	-0.359298	0.880241	-0.0923038	-0.163714
18338_AI045814	-0.439544	-0.148302	-0.376157	0.816428	-0.0669788	-0.133824
18370_Atp11a_predicted	0.0497642	-0.0586414	0.0936325	0.369567	0.709733	0.0792694
18471_BF544403	0.116524	0.393711	-0.156908	0.57744	0.857002	0.00429324
18535_Expi	-0.359306	-0.959082	0.132065	-0.656235	-0.888067	0.58498
18763_TC543900	-0.0935097	-0.0403093	0.126416	0.999792	1.05485	-0.0410128
18767_BG381647	-0.395787	-0.153788	-0.365595	0.710522	-0.0802984	-0.14122
18798_U39609	-0.315347	-0.762951	0.0387646	-0.168877	0.0312614	-0.0298763
18852_Idi1	-0.0454717	-0.130015	-0.0647977	-0.579569	-0.735297	-0.293314
18918_Slc39a2_predicted	-0.220083	-0.233196	-0.102329	-0.733477	-0.965539	-0.202806
19023_Hcn2	-0.276408	-0.215427	-0.250325	0.750074	0.00121937	-0.0632149
19210_AA926345	-0.131106	-0.0781411	0.0757475	0.701732	0.232762	0.192212
19270_Tac4	0.243026	-0.180767	-0.345739	0.822114	-0.0818979	-0.161756
19288_LOC499721	-1.29078	-1.20283	-0.0853472	0.433156	-0.0439724	0.156846
19326_C3	-0.298514	-0.811925	0.0182598	-0.40245	-0.600305	-0.0640613
19391_RT1-Aw2	-0.0390433	-0.827617	-0.130766	-1.08928	-1.11217	-0.290513
19404_BF548548	0.227547	0.346998	0.588845	0.654619	0.727202	0.054088
19621_Ankrd2_predicted	0.212933	0.827949	0.144068	0.297461	0.273158	0.422854
19676_Zbtb39_predicted	-0.346504	-0.194312	-0.341807	0.856646	-0.0658062	-0.149289
19706_Arsg	-0.343703	-0.187836	-0.232073	0.749152	0.00073195900000003	-0.064142
19821_BC092191	0.00358929	-0.133085	-0.185553	0.807548	0.395278	-0.217454
19922_Slc17a6	-0.306581	-0.434371	-0.0486289	0.711678	0.219463	0.114112
19932_Sln	0.724555	0.849443	0.0860073	-0.0651585	-0.152892	0.840713
20074_RGD1564943_predicted	-0.185692	-0.0208569	-0.146484	-0.77878	-0.485035	-0.0609563
20126_Plcd4	0.863873	1.07669	0.157373	-0.49045	-0.65226	0.342968
20208_Selenbp1	-0.932383	-1.042	-0.136617	-0.325202	-0.297116	-0.203459
20227_LOC500300	-0.368435	-0.485602	0.211376	0.382956	0.735185	-0.140296
20273_Crabp2	-0.0934387	-0.037571	-0.028634	-0.697993	-0.802805	0.0350947
20282_Cyp2e1	0.380239	-0.806427	-0.0596815	-0.499475	-0.189053	-1.03928
20328_RGD1306841	0.0746722	0.0988137	-0.0567647	-0.723198	-0.595437	0.0396109
20331_AI071763	-0.486744	-0.161264	-0.362871	0.757677	-0.061549	-0.12896
20516_TC522835	-1.05238	-1.11848	-0.355971	-0.259522	-0.431496	0.382295
20538_Pck1	0.242985	-0.621761	-0.128333	-1.09713	-1.31979	-0.379423
20578_Rhoa	-0.355057	0.00371814	-0.847578	-0.234601	-0.14019	-0.0849147
20615_Jag2	-0.0841007	-0.128755	-0.0807035	-0.700302	-0.49597	-0.205836
20715_AI045810	-0.397907	-0.156454	-0.321045	0.831023	-0.0461706	-0.124541
20717_BF523428	0.423218	0.404821	0.129531	0.862535	0.728338	0.236759
20742_Tepp	-0.310107	-0.181738	-0.425116	0.837908	-0.151267	-0.261109
20776_Guca2a	-0.376154	-0.167407	-0.31196	0.699219	0.0847479	-0.12148
20807_Cyp2e1	-0.148957	-0.482198	-0.0469187	-0.518845	-0.174189	-1.04123
20829_Mad2l1_predicted	-0.0042574200000001	-0.321332	-0.245805	-0.765898	-0.635893	0.0895451
20865_AI044900	-0.393929	-0.202424	-0.364643	0.83124	-0.0677202	-0.143793
20887_Ccl5	0.706421	0.394626	-0.0643587	-0.0139119	-0.0798995	-0.0703476
20970_TC560462	-0.363603	-0.965884	0.419325	0.0552461	0.261907	0.351503
21009_Aldh1a4	-1.02901	-0.174203	-1.36958	-0.0146177	0.0405505	-0.0362013
21036_BM384260	-0.334055	-0.137585	-0.31623	0.780902	-0.0369831	-0.126667
21161_Olr57_predicted	-0.555444	-0.304321	0.0910438	0.71752	0.240162	0.189504
21481_AA925651	-0.361717	-0.166305	-0.378987	0.895431	-0.0915887	-0.179951
21509_CF106934	-0.401933	-0.166044	-0.283046	0.711965	-0.103909	-0.121374
21529_TC563964	-0.379282	-0.14698	-0.332692	0.817106	-0.0575462	-0.110605
21572_Hmbs	0.101001	0.0572625	-0.139843	-0.637666	-0.717012	0.0411876
21654_Fkbp5	0.111832	0.343868	0.565624	0.442463	0.772174	0.0833666
21668_Serpinb12_predicted	0.475747	0.474203	-0.146469	-0.722162	-0.615619	-0.20172
21683_Gip	0.2044	0.765585	0.243764	0.498306	0.278684	0.211267
21686_RGD1561831_predicted	0.258779	0.396362	-0.306541	-1.00214	-0.932894	0.420295
21708_Cma1	-0.717863	-0.761757	-0.482764	-0.0439328	-0.251233	-0.290775
21747_RGD1564786_predicted	-0.0999947	-0.141121	-0.0221161	0.66241	0.797616	0.18272
21831_AI103284	-0.184093	-0.251105	0.0570336	0.704317	0.221879	0.098308
21851_LOC682159	-0.36235	-0.205311	-0.310219	0.784395	-0.0570099	-0.120503
21871_Slfn3	0.807462	1.00431	-0.166853	-0.572001	-0.434387	0.587181
21953_TC525120	-0.373595	-0.17037	-0.458774	0.817077	-0.216604	-0.30189
21996_Hal	-0.0583887	-0.0159682	-0.334365	-0.74824	-0.836888	0.0691306
22062_Dbi	-0.203633	-0.197959	-0.266005	-0.58835	-0.753927	-0.22404
22064_Gpha2	0.0643669	-0.455559	0.954562	-0.133473	-0.12498	0.319514
22089_Ms4a8b_predicted	-0.696433	-0.990257	-0.440867	-0.610339	-0.815573	-0.437752
22252_Rbp1	-0.549059	-0.483478	-0.42286	-0.58786	-0.728911	0.130726
22281_Gap43	-0.241502	-0.518382	-0.0891696	-0.346558	-0.833391	0.0318578
22284_CA509558	-0.400127	-0.173369	-0.342595	0.803972	-0.0585001	-0.110251
22336_Klf15	-0.16137	-0.0443402	0.28685	0.384983	0.854409	-0.117618
22418_Ms4a6b	1.02861	0.751015	0.109281	0.38687	0.098421	0.160973
22475_Gale	0.0819254	0.0275498	-0.215523	-0.622115	-0.777066	-0.045946
22498_U75921	-0.342516	-0.157041	-0.360663	0.728729	-0.0520182	-0.106007
22518_Armcx2	-0.0238795	-0.0239834	-0.219694	-0.652783	-0.724177	0.202065
22534_Mt1a	-0.148056	0.319464	0.741436	0.977116	1.16903	0.187467
22580_RT1-Aw2	0.345454	-0.855994	-0.129645	-1.09509	-1.10775	-0.287766
22590_XM_214835	0.0153578	0.00202132	-0.361289	-0.478846	-0.636437	-0.785684
22597_Racgap1_predicted	-0.271786	-0.737387	-0.156924	0.420889	-0.111833	-0.0156433
22611_LOC686809	-0.0218603	-0.0826225	0.217924	-0.749086	-0.638547	-0.029521
22617_TC552040	-0.0920942	-0.0344069	-0.270405	-0.728284	-0.386607	-0.40131
22632_Myog	0.119415	0.871745	0.0534735	0.177157	-0.485733	0.470134
22657_LOC686567	0.0663398	0.0609289	-0.121104	-0.762851	-0.864996	-0.237927
22690_Trim63	0.186713	0.630181	0.281501	1.29153	1.59671	0.0112029
22756_Ucp1	-0.019425	-0.528567	0.116993	0.707115	0.302618	0.344471
22776_Sult1c1	-1.30453	-1.26435	0.220386	-0.259305	0.47209	0.293428
22783_Ms4a6a_predicted	0.909659	0.717202	0.0567709	0.0957986	0.00411311	0.144316
22810_Spp1	0.0271302	0.342475	0.558337	0.726634	0.664667	1.2174
22932_Gal	-0.101086	-0.173926	0.104647	0.732739	0.63211	0.00156649
22950_TC568438	-0.201222	-0.0853793	0.138773	-0.733875	-0.507042	0.0266746
23042_LOC294446	0.189933	0.102296	-0.177605	-0.991618	-0.664941	-0.0820812
23178_LOC687595	0.176432	-0.01642	0.0206703	-0.758153	-0.783541	-0.074906
23268_TC539049	-0.0197376	-0.0800134	-0.197595	-0.729129	-0.58689	0.100726
23293_Galntl2_predicted	-0.0550975	-0.0357845	0.265988	0.610468	0.786846	-0.356624
23371_Uap1l1_predicted	0.0133644	-0.107844	0.154958	-0.447903	-0.700093	0.158142
23433_Cyp2e1	0.366671	-0.517295	-0.049754	-0.496694	-0.196852	-1.06154
23514_CB544995	0.138796	-0.104977	-0.299571	0.836904	-0.0205477	-0.0761259
23646_Slc27a2	-0.632967	-0.947914	-0.403586	-0.294077	-0.523934	-0.14542
23687_XM_214619	0.10762	-0.120939	-0.0108557	0.457148	0.783931	-0.16761
23728_Cyp11b3	-0.383144	-0.183308	-0.314109	0.868726	-0.031785	-0.106313
23740_Cyp2e1	-0.160456	-0.437377	-0.0527525	-0.475268	-0.192175	-0.983047
23755_TC558638	-0.641944	-0.755421	-0.128046	-0.184005	-0.0248891	-0.510347
23759_BF564613	-0.28394	-0.117814	-0.464588	0.812693	-0.194409	-0.304086
23779_BF558918	0.877815	0.520373	-0.268437	-0.564253	-0.981248	0.0908314
23871_Spin2b	-0.34633	-0.204435	-0.350474	0.809426	-0.0428119	-0.114935
23967_Oit3	-0.406657	-0.189794	-0.345933	0.840019	-0.0786571	-0.16082
24052_TC544957	0.0339568	0.0826165	0.0534832	0.901098	0.824139	-0.0235782
24154_AA924218	-0.149308	-0.0361522	-0.0432693	0.709868	0.566784	-0.0855265
24263_Flg	-0.336395	-0.251295	-0.339928	-0.750377	-0.348239	-0.401439
24369_XM_236746	0.174352	0.0662261	-0.613701	-0.606799	-0.899669	-0.547353
24385_TC550642	-0.100238	0.256591	0.0434472	0.62193	0.735912	-0.0704256
24426_Cxcl10	0.981068	1.573	0.595497	0.332591	0.396673	0.595752
24518_TC551872	0.843707	0.526588	-0.135416	-0.242801	-0.203375	0.0487112
24537_LOC684013	1.12319	0.188698	-0.0195081	-0.282757	-0.264022	-0.156907
24611_RGD1559748_predicted	0.770591	0.407573	0.113502	0.401847	0.206148	0.172518
24759_TC548367	0.0824483	0.185367	-0.244265	-0.710627	-0.998192	-0.369427
24784_Asf1a_predicted	-0.143898	-0.0730702	-0.22584	0.736957	-0.0229153	-0.103552
24792_LOC685479	0.0418481	-0.103655	0.471803	1.08363	1.15953	-0.170233
24866_Prkcb1	0.428019	-0.0578902	-0.324563	-0.553571	-0.73679	-0.00069121499999999
24924_Cipar1	-0.32652	-0.313676	0.180763	0.644841	0.552097	0.730099
24946_BF557670	0.0297506	0.0825476	-0.309458	-0.702189	-0.697872	-0.0924662
24955_Apln	0.2767	0.499481	-0.101323	-0.555589	-0.707228	0.140052
25058_Nr1d1	-0.0105384	-0.245704	0.401845	0.400554	0.799073	0.0294987
25139_Esm1	-0.164194	0.0975606	-0.149926	0.7833	0.882889	0.0910639
25221_BF404842	-0.367477	-0.179761	-0.334231	0.829116	-0.0711156	-0.147691
25268_Timp1	0.436317	0.534635	0.0492232	-0.110675	-0.175569	0.814332
25383_XM_221810	0.0391686	-0.319873	0.779709	-0.217746	-0.461998	-0.387258
25404_Serpinb2	0.222329	0.115311	-0.0283009	-0.773652	-0.720625	-0.0729532
25436_Ccl2	0.781463	0.963014	0.223053	-0.766454	-0.649489	-0.102719
25439_AI010719	-0.450503	-0.160987	-0.376464	0.733908	-0.0723352	-0.127189
25449_Dlk1	-0.389384	-0.232694	-0.389376	0.831797	-0.0915629	-0.244756
25508_CB547833	-0.0589951	-0.0661521	-0.0990497	-0.783128	-0.613151	-0.25593
25509_Stfa2_predicted	-0.247738	0.112344	-0.320998	-1.78482	-1.95606	0.284138
25580_Uox	0.050006	0	-0.333296	-1.07367	-1.14357	0.126052
25582_Adm	0.0838712	0.214966	0.0190232	0.754201	0.578848	-0.0979695
25680_Cpa3	-0.875037	-0.820236	-0.462039	0.00025801900000001	-0.211517	-0.0553532
25733_Best5	0.453418	0.955293	0.110418	0.0423384	0.149535	-0.0710288
25745_DV717319	-0.0221689	-0.00988302	-0.173815	-0.671349	-0.79837	-0.0315134
25771_Mamdc2	-0.0816164	-0.095613	-0.261648	-0.472116	-0.29569	-0.821265
25909_LOC498335	-0.109267	-0.208603	-0.157831	-0.751064	-0.668275	-0.153721
26032_Pde4d	0.0725475	0.364761	0.033724	0.617401	0.779416	-0.202058
26054_RGD1559589_predicted	-0.301374	-0.204001	0.0514833	0.745499	0.363449	0.293817
26055_Klc3	-0.0269875	-0.0253645	-0.129588	-0.722875	-0.768976	-0.179249
26115_Alox5	0.782538	0.977367	0.290904	-0.321059	-0.668192	0.296313
26117_Timeless	0.222522	-0.152427	-0.160726	-0.736047	-0.382035	0.0230001
26139_LOC310395	0.0258209	0.0123729	-0.00158887	0.775948	-0.157306	-0.19604
26209_Myo1f_predicted	0.752365	0.193596	-0.202248	-0.630355	-0.655011	0.123222
26269_A_44_P797721	-0.423183	-0.167804	-0.36297	0.736569	-0.0692971	-0.130305
26292_Utx_predicted	-0.0691182	0.0917957	0.624836	0.459469	0.82652	0.326203
26294_Adm	0.0667956	0.20737	0.00982131	0.750859	0.581804	-0.101122
26396_TC556752	-0.363815	-0.173589	-0.287491	0.792701	-0.013972	-0.11525
26402_Try10	-0.071961	-0.263361	0.177102	0.70163	0.366356	0.365608
26487_TC552147	0.622926	0.493242	0.832721	0.165719	0.00846074	0.630651
26502_ENSRNOT00000024093	-0.725872	-0.0961113	-0.743219	0.0381999	0.0394711	0.0165017
26512_Krt1-18	-0.450339	-0.873726	-0.0558553	0.392123	0.230024	0.118997
26663_RGD1564431_predicted	0.0908451	0.226136	0.00372528	0.786421	0.384096	-0.288917
26680_AW914885	0.0289444	0.18946	-0.137657	-0.734285	-0.800901	-0.43791
26697_AI179957	-0.925686	-0.142354	0	0.0755663	-0.0995307	0.0704361
26737_Htatip2_predicted	-0.00075236399999993	-0.0185455	0.130822	-0.714399	-0.64767	0.218152
26785_MGC109491	-0.0862511	0.106953	0.240297	0.358553	0.74181	-0.0168978
26898_Sftpc	0.0285392	-0.0931945	-0.366543	0.153509	0.199063	-0.796502
26983_Kcnh1	-0.658008	-0.500247	-0.104659	0.728391	0.654689	-0.106944
27095_Spp1	0.0440568	0.328079	0.534748	0.708498	0.665202	1.20477
27282_Clcnkb	-0.0633549	-0.224922	0.301743	0.416779	1.08743	0.140024
27284_TC550128	0.108585	0.250871	-0.0109817	0.381946	0.826486	0.125177
27331_Msln	-0.539868	-0.80121	0.0286148	-0.116623	0.0379723	0.0892313
27383_A_44_P816824	-0.383563	-0.100796	-0.353815	0.864421	-0.0565681	-0.122059
27441_Lyz	0.950061	0.468243	-0.149072	-0.364302	-0.376077	0.166845
27449_Ecg2	0.119473	-0.088074	-0.363342	-0.557093	-0.775804	-0.258692
27537_A_44_P496643	0.172456	0.243142	-0.224319	-0.724445	-0.822193	0.0127523
27653_Ppp2r2b	-0.717895	-0.750189	-0.266606	-0.52688	-0.200565	-0.168495
27717_Pax6	-0.685267	-0.816431	0.178148	-0.0734503	0.375551	0.17238
27776_Cldn7	-0.838932	-1.07703	-0.386335	-0.457165	-0.717724	-0.259144
27835_Fkbp5	0.248852	0.303403	0.451374	0.61267	0.755343	-0.053241
27879_RT1-Aw2	-0.0283124	-0.815809	-0.129222	-1.07282	-1.10294	-0.284946
28042_MGC116197	0.470597	0.359326	0.702941	0.0850101	0.0146233	0.494182
28085_TC541993	0.0278892	0.330987	0.233825	-0.834657	-0.347273	-0.0770883
28217_Coro1a	0.623702	0.279201	-0.00139192	-0.844258	-0.753951	0.314523
28262_RT1-Aw2	-0.0498976	-0.816663	-0.129765	-1.09396	-1.10141	-0.286136
28289_Slamf9_predicted	0.921846	0.600686	0.0345469	-0.334711	-0.586022	0.16241
28375_Itgb2	0.810261	0.456664	0.296132	-0.205551	-0.0306081	0.512395
28657_TC544613	0.927522	1.26982	1.83161	-0.0527132	0.266436	1.19881
28687_Timp1	0.442757	0.518934	0.0495963	-0.100805	-0.167942	0.802663
28704_Wfikkn1_predicted	-0.10354	0.0373212	-0.00157668	0.535003	0.717053	0.0182439
28713_BF556560	0.0391915	-0.178348	0.076972	-0.77545	-0.269187	0.0223226
28749_AI104571	-0.417216	-0.176161	-0.358723	0.735608	-0.0539003	-0.113855
28791_Bglap2	-0.759413	-0.810453	0.00395028	0.51573	0.286199	0.202184
28805_Prkcb1	0.48597	-0.0836625	-0.309418	-0.595059	-0.722816	-0.0098797599999999
28820_RGD1565709_predicted	-1.06315	-1.3087	0	-0.367721	0	0.00373222
28844_RGD1359349	-0.00608317	0.506968	0.171198	0.822538	0.899965	-0.00983829
28861_Doc2b	-0.417672	-0.172816	-0.36482	0.811045	-0.0516659	-0.125245
28954_Timp1	0.444193	0.515178	0.0469182	-0.107725	-0.164637	0.804015
29089_LOC683720	-0.388859	-0.502049	-0.102579	-0.819552	-0.85391	-0.165607
29119_Pcdh21	0.00258545	0.161353	0.448756	-0.448644	-0.506356	0.987593
29243_AW914146	0.0697018	0.37693	-0.134377	0.465293	0.719298	-0.262709
29388_Egfl3	-0.703408	-0.806269	-0.0839071	-0.496814	-0.353767	0.0211644
29485_RGD1306603_predicted	-0.82906	-0.542347	0.433953	-0.596178	-0.112821	0.245585
29553_LOC683313	-0.135401	-0.132747	-0.194183	-0.31551	-0.561854	0.848146
29596_TC522030	0.391064	0.566073	0.78035	0.75311	0.860978	0.520728
29646_Glul	-0.00184157	-0.0386968	0.122209	0.687908	0.731394	-0.229702
29654_Mgl1	0.888208	0.277052	-0.216508	0.228031	-0.0865962	-0.213371
29818_Otx2	-0.737935	-1.04984	0.453893	0.233571	0.390812	0.0692448
29864_RT1-Aw2	-0.0483174	-0.832781	-0.126933	-1.08696	-1.1108	-0.282447
29909_TC557460	-0.333117	-0.182934	-0.245226	0.805955	0.0435086	-0.0714979
29925_Ccnd1	0.314204	0.319033	0.34583	-0.754585	-0.758189	0.309509
29940_RGD1564535_predicted	-0.114156	-0.207594	0.0313922	0.727066	0.349986	0.207693
29942_Agr2_predicted	-0.942155	-1.30475	0	-0.0874701	-0.37638	0.0626035
30007_Ahctf1_predicted	-0.303903	-0.091182	-0.288268	0.7847	-0.0854283	-0.181743
30076_Serpinb11_predicted	0.0482495	0.0376106	0.0437651	-0.699513	-0.805371	0.202417
30102_DV723169	0.0633316	0.159032	-0.0252969	-0.878769	-1.01113	-0.28437
30147_Gal	-0.142419	-0.112833	0.138026	0.700025	0.600552	0.0209916
30222_TC519012	-0.075274	0.00597522	-0.128028	-0.770369	-0.532551	-0.109882
30286_Cblb	0.0225926	-0.0219076	0.250314	0.47148	0.730673	-0.0552193
30379_A_44_P290693	0.0524645	-0.270102	0.0486422	0.705241	0.269249	0.132783
30380_Cyp51	0.0972641	0.0962701	-0.0876818	-0.749172	-0.671425	-0.124751
30454_TC558135	-0.29287	-0.325474	-0.358122	-0.688675	-0.790562	-0.0878565
30481_Cdkn1c	0.572241	0.803711	0.24902	0.0408657	-0.0146821	0.17754
30579_XM_344807	-0.375877	-0.196758	-0.433366	0.814974	-0.171158	-0.278182
30592_Card9	0.137299	0.124254	-0.187646	-0.683054	-0.765033	-0.0686847
30599_BI290295	0.0521318	0.254418	0.223268	0.758859	1.29435	-0.0987556
30641_RGD1565091_predicted	-0.402994	-0.188134	-0.34379	0.710185	-0.0180587	-0.0927488
30642_LOC691431	0.0827129	0.258286	0.193387	0.751185	0.936206	-0.140879
30765_Olr233_predicted	-0.117352	-0.335561	0.1663	0.759078	0.302471	0.307239
30771_Olr297_predicted	-0.399442	-0.173742	-0.318393	0.757959	-0.0246018	-0.0850842
30796_D90049	-0.364185	-0.166058	-0.313223	0.747851	-0.0148855	-0.080931
30865_Wasl	-0.0128704	0.182903	-0.013783	0.146105	0.75964	-0.146823
30907_NM_139328	-0.26448	0.0681616	0.167478	0.356482	0.699301	-0.0499408
31189_Znf575_predicted	-0.159776	-0.191355	-0.157854	0.715135	0.00308599	-0.0650718
31245_Tinf2	-0.355223	-0.165375	-0.39861	0.814233	-0.166354	-0.243726
31354_RGD1310827	-0.395931	-0.409044	-0.185784	-0.701133	-0.499647	-0.143891
31471_BC087158	-0.251038	-0.323614	0.0914129	0.722059	0.223763	0.111203
31546_Dhcr24	-0.0249795	0.0966071	-0.0742951	-0.747298	-0.606038	-0.095184
31633_AA925274	-0.40015	-0.159198	-0.345276	0.784466	-0.0743668	-0.118047
31760_LOC500015	0.368581	0.451216	0.0796756	-0.812548	-0.529575	0.171697
31769_Hspa4l_predicted	-0.018738	0.11766	-0.165444	-0.537469	-0.845639	-0.176021
31793_Cyp2t1	-0.301408	-0.189144	-0.26904	0.715955	-0.0718121	-0.0754207
31833_Olr229_predicted	-0.140332	-0.165164	-0.00468981	0.702143	0.295267	0.161807
31838_Has1	0.111885	0.534879	0.145033	0.0441519	-0.59518	-0.844056
31877_Ns5atp9	-0.0305568	-0.718941	-0.390509	-0.69384	-0.917623	-0.0837495
31928_A_44_P349375	-0.416523	-0.170334	-0.321301	0.777222	-0.0247841	-0.0959953
32107_AW918768	0.900188	0.998829	0.0235554	-0.0349673	-0.210658	0.706961
32135_Rgs5	-0.185595	-0.0078533	-0.178557	-0.429623	-0.745632	0.0384403
32265_TC530682	0.0505962	0.0802168	-0.0451482	-0.593483	-0.711136	-0.124337
32276_Scn3b	-0.0349989	0.369622	0.272929	0.892178	0.414726	0.666422
32289_Prkcb1	0.44813	-0.0471521	-0.313304	-0.554051	-0.74614	-0.00487375
32346_Ect2_predicted	-0.290824	-1.07373	-0.542262	-1.25841	-1.12033	-0.265596
32382_A_44_P781967	-0.153325	-0.115461	-0.397654	-0.562812	-0.736458	0.221355
32412_AI059874	-0.389105	-0.19416	-0.356351	0.902224	-0.0808204	-0.172638
32426_A_44_P295008	-0.410962	-0.172312	-0.279756	0.716643	-0.0512122	-0.111588
32541_Fcnb	0.57198	0.741985	-0.110209	-0.544903	-0.565453	-0.297499
32577_TC540523	-0.415588	-0.16176	-0.312737	0.832683	-0.0266477	-0.0938034
32591_Adm	0.0644979	0.215826	0.0199874	0.749345	0.585238	-0.0952742
32593_Adm	0.0711247	0.215421	0.0231692	0.748358	0.585852	-0.0888321
32643_RGD1305061	0.0994598	0.082788	-0.068548	-0.655741	-1.03346	-0.416179
32686_BF564888	0.274784	0.364472	0.848667	0.916791	1.25476	0.71116
32688_Pnpla2_predicted	-0.373107	-0.202641	-0.222288	0.77982	0.0418783	-0.111233
32765_LOC688778	-0.0054828300000001	-0.177285	-0.0278705	-0.755524	-0.732653	0.123433
32779_AI230395	-0.410364	-0.183303	-0.388139	0.890228	-0.0967392	-0.197576
32849_LOC681900	-0.171784	-0.055523	-0.0398484	-0.72072	-0.338898	-0.0678372
32893_LOC259245	-0.79369	-0.635918	0.0923629	-0.31222	-0.179532	-0.110614
32946_Cyp2e1	-0.388122	-0.588441	-0.064346	-0.483507	-0.19281	-1.0444
33002_TC552876	-1.14457	-1.0248	-0.155708	0.181933	0.00239746	-0.614614
33014_Gap43	-0.262607	-0.535858	-0.111929	-0.351384	-0.771221	0.0150511
33059_LOC678810	-0.461848	-0.30138	-0.223683	-0.566412	-0.825382	-0.398266
33094_AJ003232	0.667427	-0.202675	-0.104098	-0.434686	-1.10546	-0.316494
33158_Kif23_predicted	-0.330496	-0.296355	-0.2817	0.754019	-0.0079438499999999	-0.0718734
33216_LOC499544	-0.350054	-0.151819	-0.184728	0.767952	0.0697719	-0.0773711
33225_AW914042	-0.270631	-0.0900052	-0.205768	0.757049	-0.0945895	-0.118726
33278_RGD1561232_predicted	-0.542447	-0.876025	-0.00444833	-0.33756	-0.354258	-0.395932
33319_AW533310	-0.421558	-0.181802	-0.311751	0.872056	-0.0388618	-0.106055
33348_Spp1	-0.00285383	0.324371	0.539235	0.718431	0.656272	1.21617
33350_Ccnb1	-0.351343	-0.795578	-0.557644	-0.696762	-0.678629	-0.0466413
33415_TC526413	-0.419022	-0.187821	-0.339495	0.850533	-0.0767795	-0.12909
33485_Klra5	0.850324	0.199758	-0.0284259	-0.122867	-0.227455	0.281543
33613_TC558454	0.16556	-0.312623	-0.152845	-0.715302	-0.625959	0.170054
33619_RGD1560084_predicted	0.475218	0.466269	0.178291	-1.14436	-1.09994	0.0222707
33671_LOC498131	0.115067	0.295777	0.152638	0.326056	0.731706	-0.158918
33686_TC547814	-0.126556	-0.0444968	0.232482	0.611197	0.729823	-0.378439
33744_LOC298116	-0.686164	-0.730127	0.0640971	-0.377994	-0.210898	-0.134677
33752_Stmn1	-0.292566	-0.836907	-0.304819	-0.551763	-0.659669	-0.135986
33820_Stfa2	0.0407979	0.133575	-0.43	-1.33779	-1.62141	0.311001
33893_Cyr61	0.146454	0.0466384	-0.20326	-0.180276	-0.234161	-0.766824
33902_Rnpc1_predicted	-0.408152	-0.202928	-0.4576	0.804232	-0.159005	-0.326946
33908_AA996605	-0.450421	-0.114288	-0.350671	0.761602	-0.0495435	-0.116243
